{'str': '4f400b68ac3a46bc4692', 'num': 0.08353987387390249}
{'str': 'b7552ee4d8478da84995', 'num': 0.04238160270665614}
{'str': '2524d20995a563ff4d46', 'num': 0.33840060326094035}
{'str': 'a65bd0d3e6fdb31eec6d', 'num': 0.21148935760613297}
{'str': 'bad0258031bc1ece6fb0', 'num': 0.39124747058949716}
{'str': '3e7ea3a2fbf232731d96', 'num': 0.15454304301998267}
{'str': 'd66b812360436f51bd7e', 'num': 0.819871313117059}
{'str': 'b851b511e9a158e0b7dd', 'num': 0.7279952332096421}
{'str': '0f2440c8c95a95407c2a', 'num': 0.9170106478050832}
{'str': 'b2d0d6b34c110c27080b', 'num': 0.9575819994770525}
{'str': '214201141c7ea531b9c0', 'num': 0.7887174274828043}
{'str': 'd9286465a9bf49854b01', 'num': 0.5070366118086003}
{'str': '09e79dbbb5aa4cbbc0b8', 'num': 0.3389792416665577}
{'str': '2e5472b23056af0867fd', 'num': 0.036718243515405535}
{'str': '2d62b10975b25ac74fe1', 'num': 0.5042610772168195}
{'str': '8a8af048d4efc8e79c31', 'num': 0.010768809892833797}
{'str': '7df3a4a81ffadfb4de73', 'num': 0.9240248661801755}
{'str': '39aa66419ba0962af420', 'num': 0.7394149417722344}
{'str': 'cdf3ef5caf2c634293a0', 'num': 0.45114686463831954}
{'str': '1e7de6ad59e667a563d2', 'num': 0.7619319698137719}
{'str': 'b251b19c00e19ecb028c', 'num': 0.8503641742399238}
{'str': '690ac2d13fb158023d4a', 'num': 0.6894976572583027}
{'str': '9c61e28f6a18818b9210', 'num': 0.518497841804158}
{'str': 'af662220eac8324ace10', 'num': 0.9499859093886509}
{'str': '48e4238221981ef985de', 'num': 0.0973137430969131}
{'str': '475d3d19ca0ea8f45bf7', 'num': 0.19619809203559235}
{'str': '1668a721b9fdf0a3f315', 'num': 0.3967556860872815}
{'str': '3da4ac1ec727d4ffde65', 'num': 0.8354790689835503}
{'str': '70ca98bb59b6f2f9c0c6', 'num': 0.9717570324250154}
{'str': '8567f06888d91dec04ad', 'num': 0.30591983401408895}
{'str': 'df02a3ca23dcc2611613', 'num': 0.1897260874030101}
{'str': '19547edfeab88915a355', 'num': 0.33758625184437874}
{'str': 'f0efa49a1fa2a636bc32', 'num': 0.26442725548995183}
{'str': '741ac744fffcc782332c', 'num': 0.19965410123251026}
{'str': 'f4b05809280cee97bbcd', 'num': 0.8585441375913312}
{'str': 'c4e24bc7a8f1b66760d0', 'num': 0.917750983864604}
{'str': 'e910744f04adc13b5ae3', 'num': 0.933189792267861}
{'str': 'a262f91b50862295498e', 'num': 0.4877401522508438}
{'str': '939de5f6be0d002f46ec', 'num': 0.13796421231785871}
{'str': 'b43f0fca834e75af260a', 'num': 0.3594125774774527}
{'str': '0190864d12cf5cdc9768', 'num': 0.39572615620130414}
{'str': 'b4992188610e206528ca', 'num': 0.0005892728431863281}
{'str': '0570f99934180d10d60e', 'num': 0.15487419918964807}
{'str': 'bc826a488d3c78c169a5', 'num': 0.30624448374870816}
{'str': 'e9614d57f0b814602164', 'num': 0.9413226833570694}
{'str': 'cd0122be1aee0c3611f1', 'num': 0.790892067592311}
{'str': '73ffbab420897c9e35d8', 'num': 0.6602694827902127}
{'str': '1030d1b185a3eab3f0eb', 'num': 0.6469941613822444}
{'str': '9d410c7a1c881cd2fd04', 'num': 0.04095233236155049}
{'str': '62caff3ab02080f838e6', 'num': 0.26290655786695605}
{'str': '8cab656e4e5d47049d57', 'num': 0.6266137331540643}
{'str': 'b84b9bcf965265d74169', 'num': 0.23397961343921436}
{'str': '8f83efaa92e09637f482', 'num': 0.6809082452791021}
{'str': '34406a6f2eff7d280190', 'num': 0.771251697820153}
{'str': 'd52a02bb6d17848e448d', 'num': 0.8921707992932998}
{'str': '8d168b1dd6aae8287e42', 'num': 0.39909479881234333}
{'str': '8a10d00bfe5088e3eaa3', 'num': 0.6672269563466285}
{'str': '61b5f5d281929fee1609', 'num': 0.3020004739458976}
{'str': '0ef87255324caf56985e', 'num': 0.7140065376465766}
{'str': '5fa736d1648a687866a8', 'num': 0.20111195402001303}
{'str': '47e4e61e395adf48cf6f', 'num': 0.06151238404228754}
{'str': '98c02d0f60e9c49ae694', 'num': 0.9693611359910612}
{'str': 'bd084524e7194caf85b9', 'num': 0.1401144600284422}
{'str': '5c9c3f4e6df7fa28f22b', 'num': 0.5660980505277419}
{'str': 'bb943835a9facb5f8d9a', 'num': 0.061117629241287164}
{'str': '6ff9fb2c8515b96bef92', 'num': 0.7410029917636441}
{'str': '87eb6ae17aace3a578fb', 'num': 0.04317668923385731}
{'str': 'de513adee766d36c0e85', 'num': 0.6345760843817685}
{'str': '19807fcf7e18d6ab9dba', 'num': 0.8292181048353249}
{'str': '105d148ea91d5bd39ed7', 'num': 0.7521113140867656}
{'str': '30db93ec8333e551958e', 'num': 0.5241110415322695}
{'str': '12f947ed5e4c4bf63ea1', 'num': 0.11114290352779477}
{'str': 'c04bd21b4e4d0c791293', 'num': 0.04665675648658241}
{'str': '0cba887dabd112453511', 'num': 0.7876222150113772}
{'str': 'db39f62e8cb43f405faf', 'num': 0.34840849883682057}
{'str': '2bcabef7a2e730b37418', 'num': 0.48070515369357514}
{'str': 'b7fc5511fd281db00de4', 'num': 0.300658698610038}
{'str': 'bf6f4c3a1634fe02eec6', 'num': 0.8514634024312724}
{'str': '57e9352cb62ea51cfedb', 'num': 0.6083069177871063}
{'str': '8a205bb573af6d997785', 'num': 0.2176656222049641}
{'str': '5f9bd96be66b68c0b507', 'num': 0.05636741208071905}
{'str': '5bd831e080baea893f96', 'num': 0.53611321032889}
{'str': 'bf260d9871a0d4e55382', 'num': 0.8816375354940036}
{'str': 'aec8facdc6698b38d503', 'num': 0.40322545580711666}
{'str': '7b5d85d4c869646a420b', 'num': 0.31418645510172494}
{'str': '6aa8ebb8276a8c16dd4c', 'num': 0.6146290327540678}
{'str': '8a940b9e8a4d455685dd', 'num': 0.26491421890472366}
{'str': 'b30fe113a60d15d14e4f', 'num': 0.0012501292737890912}
{'str': '861b8ca17c96561c5521', 'num': 0.8137402598441547}
{'str': '6dc97371e0df221e3168', 'num': 0.5936626368116057}
{'str': '1ada66f58ab3251d74a2', 'num': 0.47210173771399366}
{'str': '574d1287d7611adf34fc', 'num': 0.9295932378389984}
{'str': '4b46e5089e8ae9aeefb2', 'num': 0.3264856112397958}
{'str': 'aa52d9049c99baa19ca3', 'num': 0.4261534304808854}
{'str': 'b665762e511dfa10f02d', 'num': 0.5168663208080512}
{'str': '48237631d37fcb03e32b', 'num': 0.6318752543527176}
{'str': '91954556b2f225b7cc6e', 'num': 0.7945429310719245}
{'str': '4e991d3d45537fd9b3e9', 'num': 0.11364602793082812}
{'str': '83f501389a9442b79372', 'num': 0.7149611582748179}
{'str': 'd28550e7831c0d8d7629', 'num': 0.11504910769866183}
{'str': '52d02ef2adcbfd74f591', 'num': 0.11441717681772112}
{'str': 'b16c12c46944e0c62662', 'num': 0.6878811405593324}
{'str': '1184ead8543ed0eac27a', 'num': 0.5698038516067002}
{'str': 'b5e587529349ce1a98ee', 'num': 0.6723288064752472}
{'str': '2afc3035efb04a2a0e73', 'num': 0.7011624792515749}
{'str': '4de3ffd6986ec510cdb9', 'num': 0.8614132613900087}
{'str': 'e8c48dbe31785e37823f', 'num': 0.2766372088043113}
{'str': '51886e931be778d4033b', 'num': 0.047698522489403095}
{'str': '3e43fd035184fe3b5f02', 'num': 0.6064734242176106}
{'str': '746d56a4ae7d1d7f44f5', 'num': 0.49969881382000214}
{'str': 'a1367d6ae3528444eb24', 'num': 0.7292214662931781}
{'str': 'af6e32e8443bf7825692', 'num': 0.2634211679146182}
{'str': '680b0c0762994ade39a3', 'num': 0.3422025633456367}
{'str': '774120ff0f8aac6eb801', 'num': 0.7978088750764434}
{'str': 'be8b41c6f2affa99e0e6', 'num': 0.9251455570155115}
{'str': 'f96ed8fdb4bc4bf8660b', 'num': 0.1839023381140863}
{'str': 'ff25b20894308abb3733', 'num': 0.002081632136253786}
{'str': '909bf74e08dd77468ded', 'num': 0.36157136033456283}
{'str': '7fd72181fd5fa70e1889', 'num': 0.19249630334493362}
{'str': '1ad70c9fa141114c5510', 'num': 0.5925999392686084}
{'str': '64ac1a9390de59203e65', 'num': 0.8997743509188431}
{'str': '2432cec187d1c593e304', 'num': 0.6721415474132036}
{'str': '24a53a164e15f00a1a8b', 'num': 0.983548693398357}
{'str': '7d7bf18f473f4852413b', 'num': 0.015425431280535973}
{'str': 'ceea80e0ef77664293ec', 'num': 0.22186546617486003}
{'str': '72aa57e657d246e4ae9a', 'num': 0.33942443502737674}
{'str': 'b76b4377e0fc25ec42d0', 'num': 0.010317288059653928}
{'str': '9bb9b8deb416cec93404', 'num': 0.8271391123897044}
{'str': '3b2bac4bad1b87e8ede2', 'num': 0.8927080967578438}
{'str': '090dd97dce308970d391', 'num': 0.964297311332068}
{'str': '2551f9ae141f390e2460', 'num': 0.7847354920965753}
{'str': 'a4205d966ef80c75ee87', 'num': 0.25436607080080975}
{'str': '15fe1d224c6cc2071a48', 'num': 0.39680207897873077}
{'str': '9f19b95f6f1ccda92b8c', 'num': 0.9832658545392055}
{'str': 'a67037742f5f732db895', 'num': 0.5596969330511354}
{'str': 'e732710b5cd2061d6e1a', 'num': 0.38511419705675354}
{'str': '2faedbd85ac0b0358c6a', 'num': 0.4088855616213719}
{'str': 'd898f7ef103f5d7b4e75', 'num': 0.03564223115540022}
{'str': 'a97a72541b23798ec4f6', 'num': 0.6975227785451682}
{'str': 'ca5e71be2d2cba00b2ba', 'num': 0.37737601758992934}
{'str': 'a1c545c679678172956f', 'num': 0.0001271326511765869}
{'str': '78fa0a14a65db2e74e80', 'num': 0.0375363672066904}
{'str': 'c7e042859794a024cc5c', 'num': 0.7744468334015814}
{'str': 'c82fd2528764e1d690e2', 'num': 0.06563125126615355}
{'str': 'f70e481fdc4d3c68ff8c', 'num': 0.2389592921233228}
{'str': '68069b9ac9bac073256d', 'num': 0.25092592270997793}
{'str': '07252c03031e0efdc437', 'num': 0.8992125208017604}
{'str': '80e06150b7d76569b1c3', 'num': 0.14989468031876318}
{'str': '33fb9fb85ad019fa78a9', 'num': 0.7705848723950031}
{'str': '5527a8f3dd5ad96160cd', 'num': 0.15706388328168042}
{'str': '0320e28922511f726e3e', 'num': 0.5003408463003474}
{'str': '46d3e5d74ecd7fe65cfc', 'num': 0.40803952146389555}
{'str': 'edcbd5faa3463a052f2b', 'num': 0.6455437042550252}
{'str': '742511f80ebd8e433783', 'num': 0.3356258381256221}
{'str': '4742d60aa5d5305242e2', 'num': 0.785875854171826}
{'str': '3d9296f727ab84a9795e', 'num': 0.18536197210844052}
{'str': '319d382a7ca0127c788a', 'num': 0.4252530036707458}
{'str': '227954114893ff2c8223', 'num': 0.9824990777863125}
{'str': 'c93f378b82c3642993f7', 'num': 0.5067769094893858}
{'str': 'd695c7bfc2030a4955e4', 'num': 0.8540027420635597}
{'str': 'aacb0f63a709f2261b29', 'num': 0.3769480887959118}
{'str': 'd3aed676c1e6ceccdbed', 'num': 0.8878108819825475}
{'str': 'ce671644017782e60631', 'num': 0.660593574452669}
{'str': 'c3f2e3063fc84a397a7b', 'num': 0.7754132491137422}
{'str': 'b874f4851df7dc29306f', 'num': 0.27593357807427477}
{'str': 'f6e983b84540eabe5993', 'num': 0.9390395946706735}
{'str': '24f33d7a174fd807e14c', 'num': 0.8438327457962876}
{'str': '94b47ad77020f19eb36c', 'num': 0.7474435954645794}
{'str': '96277388f61cbcee53dd', 'num': 0.7058710810881247}
{'str': 'c0c233758eac44a636cb', 'num': 0.19732159889207845}
{'str': 'd840d565f034c004b119', 'num': 0.114431808239567}
{'str': 'd0b45f7f976350d1fe9b', 'num': 0.9210449884071958}
{'str': '066bf8914725d15dc141', 'num': 0.3060627186986523}
{'str': '8d151723394cf8bef805', 'num': 0.33108380098319}
{'str': 'c41c12878852da32ff7f', 'num': 0.17225444395083012}
{'str': 'db1bef25862dc1b13cd6', 'num': 0.8111585723319711}
{'str': 'd10e7f2e2ad3b9aded41', 'num': 0.8339668341719563}
{'str': '8c9d8b43b47de048187a', 'num': 0.5400397033388303}
{'str': 'e19ce76b0a5dd8bf207e', 'num': 0.6495100305765472}
{'str': 'abdff330bc3cfbb7d1bc', 'num': 0.0039226003739804005}
{'str': 'ace98d2424e844891ce4', 'num': 0.845691080394333}
{'str': 'df5605034bc0dc71df57', 'num': 0.33079516445508206}
{'str': '69dbc9b96c0c4a16de48', 'num': 0.881780287469456}
{'str': '2f8c09e10bfcc50fed31', 'num': 0.17415878885054037}
{'str': 'e27db2c21499006e8f9a', 'num': 0.24456745082178932}
{'str': 'dcbbd73fe6f930eb79b0', 'num': 0.5970392983515078}
{'str': '79e0db7e1806046c135d', 'num': 0.12342788175006747}
{'str': '2d680a1e1a0a228d1f20', 'num': 0.23408793232484149}
{'str': '190b98cd677f5f008597', 'num': 0.837190074084658}
{'str': '1750c81bbbcf455a31af', 'num': 0.8515234544104473}
{'str': '4656b299db82253d38d3', 'num': 0.42735328898507774}
{'str': '8e8709b6f8744b16e6d5', 'num': 0.2667617915301115}
{'str': '22152b98deb47f7d411d', 'num': 0.5312727566028479}
{'str': 'b0ab979eb2f222ab111a', 'num': 0.07271441492012298}
{'str': 'f786047d46b0c68b0f69', 'num': 0.26047313776762304}
{'str': '05d0552ca3d88d3406d4', 'num': 0.7681930440310124}
{'str': 'd2bf6e9bb3cd88edd716', 'num': 0.45304272242295973}
{'str': 'f259e2d03df99c7ee712', 'num': 0.3007632415255971}
{'str': '99c0477e941ef9dc2431', 'num': 0.9244609406995851}
{'str': 'ed38efc6a8dd871a429b', 'num': 0.2082803790791944}
{'str': '940c41fd6307da75ede6', 'num': 0.6743188078442479}
{'str': 'dd7f21b8243ed2733b2b', 'num': 0.7771597793191427}
{'str': '46cb7a5e86bdd354af85', 'num': 0.40354821270832664}
{'str': '6cc175463e56c28b141c', 'num': 0.9874674672688535}
{'str': '07f3f620e133f3de3d05', 'num': 0.06583854731093075}
{'str': '11f439d0b75256261905', 'num': 0.6377259113826835}
{'str': '04c26a9ea636c9b39fe3', 'num': 0.1379954707810035}
{'str': '643a3ee40f678cedf3e7', 'num': 0.7429027708948408}
{'str': '3eda59708b2466f46aa9', 'num': 0.5027963931924971}
{'str': '0d252577fa929e3a38ff', 'num': 0.1596302034758761}
{'str': 'c36ae136b531f797960c', 'num': 0.8419528854927152}
{'str': '38ffbafee295298a5cb7', 'num': 0.597864636131009}
{'str': 'f796e950094e41b55006', 'num': 0.7864523031052524}
{'str': '0eafcc5fa112ae3e4335', 'num': 0.8335325358865177}
{'str': '2c6731a5ccef2ccbe059', 'num': 0.6157667026498638}
{'str': 'd010f3e4172ba358832b', 'num': 0.6888437117624204}
{'str': '167d734dada53c9294f8', 'num': 0.7779417077180008}
{'str': 'ee1082ddee07a5f4a805', 'num': 0.9425355148601606}
{'str': 'f1bab38a983814e4a32c', 'num': 0.1104339769016216}
{'str': '4ae78870f97ebdac62cf', 'num': 0.7666569514883805}
{'str': 'da93ce2b1deafde9f160', 'num': 0.1222002724607213}
{'str': 'b6393a3dc3908320272d', 'num': 0.2785088805200395}
{'str': '99fd83be0f6defbb448a', 'num': 0.9736780312173106}
{'str': '75dd0345dd2b6fa079c6', 'num': 0.5737486889355901}
{'str': '4587b714ddb64353d9cb', 'num': 0.8781694124008088}
{'str': 'c30c478684b4eeb8e13d', 'num': 0.8397862209702854}
{'str': '7cfe850f3cd8bf911b1e', 'num': 0.45406209894854566}
{'str': '87f9cffc6506a94c9d40', 'num': 0.43614568265363585}
{'str': '106c4b0bfa8b1ffda326', 'num': 0.34921801432209165}
{'str': '68049379d55860225da2', 'num': 0.6265148189101506}
{'str': '892bc689deb8cf315cad', 'num': 0.6810467208647951}
{'str': 'cbd53a7b0e43ef5678be', 'num': 0.8435418020141933}
{'str': 'c31dd632d88846c2447e', 'num': 0.9662623522449402}
{'str': '1ef37e86ac0372c0eea0', 'num': 0.6648069638610195}
{'str': '123d66fd21f5e066bbe3', 'num': 0.42458044587272104}
{'str': 'cdfe1db5db8f00d2204f', 'num': 0.4602172168549169}
{'str': 'b45dd458830b89d1f5f4', 'num': 0.14746074876397752}
{'str': 'a2a754212733fd40fb87', 'num': 0.49642090126160543}
{'str': 'd034cf0d0636090595a6', 'num': 0.7129017187057585}
{'str': '3adaae39f223340ef4ac', 'num': 0.8078002894476544}
{'str': '8c749717e847ea83c9d6', 'num': 0.4147430356241343}
{'str': 'ed819eae33cf168c2f9f', 'num': 0.16816431436262724}
{'str': '80300bf2d570aadbbe1e', 'num': 0.29404864616602155}
{'str': 'd7ad316e63bdf4a225cb', 'num': 0.6977764396613769}
{'str': '5edb86ef3f01c473b235', 'num': 0.9507403342097115}
{'str': '14ee98ceb2d177d1868a', 'num': 0.3529899040943323}
{'str': 'c4be1600a947af000506', 'num': 0.4102859888089594}
{'str': '0bc4a6f4c2839fe4a940', 'num': 0.09211149526703766}
{'str': 'e7187f9db9813c588b35', 'num': 0.41872945660623173}
{'str': '18c93075b359b34a6ed6', 'num': 0.16765345126230857}
{'str': 'afe731d4d242597d8ea5', 'num': 0.2532836068525318}
{'str': '2c541fab27d7b44481f3', 'num': 0.7729698613221163}
{'str': '6c9e07fbace7c6827331', 'num': 0.623486299298673}
{'str': 'b8deea40e4f3c1faa8e2', 'num': 0.6834240080136466}
{'str': '71e23e682f8cca89d46b', 'num': 0.82635732334974}
{'str': 'cd6a9086cb08159b7f67', 'num': 0.5693323495525823}
{'str': '056f43f259fbe550a653', 'num': 0.9514121535852594}
{'str': '036c837f3414032381c4', 'num': 0.4847589596154096}
{'str': 'b9cd716aa47923ecc24e', 'num': 0.1300596234423198}
{'str': '70e75836b73381ab6f7f', 'num': 0.6373992386604886}
{'str': 'dfcd06161708d6af93b9', 'num': 0.4732700536834783}
{'str': '887ee7ef781c07369aee', 'num': 0.2483165034901461}
{'str': '2da6eb9f28cbda940788', 'num': 0.7890497966057723}
{'str': '4070575eb1621c452d77', 'num': 0.4530737869027789}
{'str': 'cf1bc422e2f65c89b08c', 'num': 0.10859787559794098}
{'str': '96b9a7b06a3ff7c76bb3', 'num': 0.6377559178116096}
{'str': 'e0f8932e13a27610450a', 'num': 0.8723623756602312}
{'str': '09f5ec332ace7ba3a11a', 'num': 0.3600331604726643}
{'str': '9e7f22946ac15056ffb3', 'num': 0.6724612270677108}
{'str': 'c4dd118c305fdb473a08', 'num': 0.9853629901789774}
{'str': '170b17466946122d44a4', 'num': 0.26743134320297635}
{'str': '3a128086753c60e15c79', 'num': 0.7494431505031056}
{'str': '2bc464f26cd2318b4558', 'num': 0.29005843676569265}
{'str': '44d6790f0d4bde919c34', 'num': 0.6309237118136337}
{'str': 'cfbd6c8de20687585d0c', 'num': 0.010979380123817495}
{'str': 'e1591aa2eec88064d001', 'num': 0.1721348463232828}
{'str': 'a65b08343ba9ca3decca', 'num': 0.13835354238952624}
{'str': '3f96063e5ae9b0e0e7ea', 'num': 0.7432954944052736}
{'str': '9bfda3dea1073c8a3255', 'num': 0.9506621049408698}
{'str': '3fd3b2891f2c1991b4f6', 'num': 0.6292833958678848}
{'str': '6a44acd814323ad9b9c4', 'num': 0.759234974674904}
{'str': '61fa11ea6918285b47cd', 'num': 0.535502779677668}
{'str': '223fc9b879c09d88e1f9', 'num': 0.7475222023455865}
{'str': 'f1dd4c07d6c1294a9032', 'num': 0.10459920248266452}
{'str': '563d94a1bc02c40db1b8', 'num': 0.12664033077282344}
{'str': '1074538695420017eda5', 'num': 0.659145703965904}
{'str': 'b2adda74e63bd8d0afa3', 'num': 0.4720290519852278}
